,title,price,area,bhk,descrp
11,4 BHK Independent Builder Floor in Paschim Vihar,₹ 2.7  - 4.5 Cr,"2,250-3,600 sq.ft. (209-334 sq.m.) Carpet Area",4 BHK4 Baths,"King homes is situated in one of the premier location in paschim vihar, delhi west. All the floors are brand new , airy and well ventilated. It's location allows easy access to all public transport mediums, that makes extremely easy to commute and be well connected to other parts of the city"
12,2 BHK Residential Apartment in Moti Nagar,"₹ 1.46  - 1.91 Cr₹ 13,012/sq.ft.","1,040-1,418 sq.ft. (97-132 sq.m.) Super built-up Area",2 BHK2 Baths,"The project offers 2 BHK apartments in Moti Nagar, Delhi West. These apartments have a super built-up area, ranging from 1040.0 sq. ft. to 1418.0 sq. ft. and are available at a price range starting from Rs. 1.46 Crore to Rs. 1.91 Crore. It is a ready to move project, with 23 towers and features an array of facilities including a Lawn Tennis Court, Gated Community, CCTV Camera Security, 24x7 Sec..."
13,4 BHK Residential Apartment in Moti Nagar,"₹ 3.49  - 4.5 Cr₹ 13,786/sq.ft.","2,494-3,500 sq.ft. (232-325 sq.m.) Super built-up Area",4 BHK,"Make DLF Capital Greens your next home. This project offers 4 BHK flats in Moti Nagar, Delhi West. With a super built-up area ranging from 2494.0 sq. ft. to 3500.0 sq. ft., these flats combine the finest design and amenities in Delhi West to provide a living experience unlike any other. It is a ready to move project and is unique in its perfect harmony of classic form and modern construction. T..."
14,2 BHK Independent Builder Floor in Paschim Vihar,"₹ 1.5 Cr₹ 11,538/sq.ft.","1,300 sq.ft. (121 sq.m.) Super built-up Area",2 BHK2 Baths,"Here is an excellent deal that awaits your pristine attention! 2 bhk independent builder floor available for sale in paschim vihar, delhi west, delhi / ncr. Property configurations: This beautiful builder floor is spread across an area of 1300 sq. Ft. It consists of 2 bedrooms, 2 bathrooms, study room and 3 balconies. The balcony offers a great view and is a place to enjoy at any time. Being we..."
15,3 BHK Residential Apartment in Uttam Nagar West,₹ 37.49 Lac,900 sq.ft. (84 sq.m.) Carpet Area,3 BHK3 Baths,"Maharaja Floors is a residential project, offering a range of 3 BHK flats in Uttam Nagar West, Delhi West. It hosts exclusively designed 1 towers, each presenting an epitome of class and simplicity. We bring you a chance to book your 3 BHK flat that has a carpet area of 900.0 sq. ft. It is a ready to move property. With an impressive layout and a comprehensive range of amenities like 24/7 Power..."
16,2 BHK Independent Builder Floor in Paschim Vihar,₹ 88 Lac,756 sq.ft. (70 sq.m.) Carpet Area,2 BHK2 Baths,"King homes is situated in one of the premier location in paschim vihar, delhi west. All the floors are brand new , airy and well ventilated. It's location allows easy access to all public transport mediums, that makes extremely easy to commute and be well connected to other parts of the city"
17,3 BHK Residential Apartment in Mohan Garden,₹ 40 Lac,900 sq.ft. (84 sq.m.) Carpet Area,3 BHK3 Baths,"Make PS Homes your next home. Book your 3 BHK flat in Mohan Garden, Delhi West. With a carpet area of 900.0 sq. ft., the flat combines the finest design and amenities in Delhi West to provide a living experience unlike any other. Here is an exclusive deal for you. Buy your 3 BHK flat for Rs. 40 Lac. It is a ready to move property which is unique in its perfect harmony of classic form and modern..."
18,2 BHK Residential Apartment in Uttam Nagar West,₹ 24.75 Lac,594 sq.ft. (55 sq.m.) Carpet Area,2 BHK2 Baths,"Book your 2 BHK apartment in Maharaja Floors, Uttam Nagar West, Delhi West. Having a carpet area of 594.0 sq. ft., the property is well ventilated and promises an exclusive view and refreshing vibes. The project is a superbly designed project set amidst excellent surroundings and offers residents a world-class infrastructure. Look at its range of general amenities that include 24/7 Water Supply..."
19,1 BHK Residential Apartment in Uttam Nagar West,₹ 15 Lac,360 sq.ft. (33 sq.m.) Carpet Area,1 BHK1 Bath,"Enjoy a blissful living experience in Maharaja Floors. This residential project encompasses 1 BHK apartments in Uttam Nagar West, Delhi West and brings you the best of both the worlds – excellent aesthetics and exemplary lifestyle. Its unique highlights include facilities like 24/7 Power Backup, 24/7 Water Supply, Car Parking and many others. All of these and the other features make this projec..."
20,3 BHK Independent Builder Floor in Uttam Nagar,"₹ 30  - 34 Lac₹ 4,000/sq.ft.",750-850 sq.ft. (70-79 sq.m.) Super built-up Area,3 BHK,"Uttam nagar homes in uttam nagar, delhi west by partap builders is a residential project. The project offers floor with perfect combination of contemporary architecture and features to provide comfortable living. The floor are of the following configurations: 1bhk, 2bhk, 3bhk and 4bhk The size of the floor is from 33.44 sq. Mt to 116.13 sq. Mt Uttam nagar homes price ranges from 14.00 lacs to 7..."
21,1 BHK Independent Builder Floor in Uttam Nagar,"₹ 15  - 17.92 Lac₹ 4,167/sq.ft.",360-430 sq.ft. (33-40 sq.m.) Super built-up Area,1 BHK1 Bath,"Uttam nagar homes in uttam nagar, delhi west by partap builders is a residential project. The project offers floor with perfect combination of contemporary architecture and features to provide comfortable living. The floor are of the following configurations: 1bhk, 2bhk, 3bhk and 4bhk The size of the floor is from 33.44 sq. Mt to 116.13 sq. Mt Uttam nagar homes price ranges from 14.00 lacs to 7..."
22,2 BHK Residential Apartment in Mohan Garden,₹ 23 Lac,567 sq.ft. (53 sq.m.) Carpet Area,2 BHK2 Baths,"PS Homes is a ready to move project, offering a great 2 BHK flat in Mohan Garden, Delhi West. The unit has a carpet area of 567.0 sq. ft. and is available at a price of Rs. 23 Lac. PS Homes is well connected to the city areas and features a large number of amenities to fit your needs. It is equipped with highlights such as 24/7 Water Supply, Car Parking, etc. that make it one of the most sought..."
23,4 BHK Residential Apartment in Moti Nagar,"₹ 4.49  - 6.3 Cr₹ 18,000/sq.ft.","2,494-3,500 sq.ft. (232-325 sq.m.) Super built-up Area",4 BHK,"Book your 4 BHK flat in DLF Capital Greens, Moti Nagar, Delhi West. Having a super built-up area of 2494.0 sq. ft. - 3500.0 sq. ft., these flats promise an exclusive view and refreshing vibes, making them well ventilated. It is a superbly design project set amidst excellent surroundings and offers residents a world-class infrastructure. Look at its range of general amenities to premium amenitie..."
24,2 BHK Independent Builder Floor in Uttam Nagar,"₹ 22  - 31.83 Lac₹ 4,889/sq.ft.",450-651 sq.ft. (42-60 sq.m.) Super built-up Area,2 BHK,"Partap builder floors in uttam nagar, delhi west by partap builders is a residential project. The project offers floor and apartment with perfect combination of contemporary architecture and features to provide comfortable living. The floor and apartment are of the following configurations: 2bhk and 3bhk The size of the apartment is 88.26 sq. Mt. The size of the floor is from 41.81 sq. Mt to 88..."
