,title,url,co,sal,head,descp
53,"
NLP Engineer",/company/PLUTO-7/jobs/Nlp-Engineer-3a02b0c9283e5978?fccid=ef05ccafeb295638&vjs=3,"
PLUTO 7",N.A,PLUTO 7,"Company Background: Pluto7 is a Google Premier Partner for services and solutions company focused on building ML, Ai, Analytics, solutions to accelerate business transformation. We are a Premier Google Cloud Partner, servicing Retail, Manufacturing, Healthcare, and Hi-Tech industries. We’re seeking passionate people to work with us to change the way data is captured, accessed and processed, to make data-driven insightful decisions. Pluto7 has been Awarded the Global 2019 Google Cloud Specialization Partner of the Year Award for Data and Analytics.Role: NLP EngineerExperience: 1.5 -2 yearsWork location : India (Remote)Responsibilities: *1. Good hands-on knowledge of Tensorflow, SpaCy, HuggingFace libraries, and packages.2. Out of the Box thinker in solving NLP related problems3. Fundamentals of statistical methods is a must4. Experience in named entity recognition, POS Tagging, Lemmatization, vector representations of textual data and neural networks - RNN, LSTM, BERT, ULMFiT, Sentence Encoders, Sentence Cloud5. Handled Productionzing of ML models via CI/CD best practices (either on-premise or Cloud)6. Continuous learning and never give up attitude.7. A solid foundation in Python, data structures, algorithms, and general software development skills.8. Ability to apply machine learning to problems that deal with language9. Engineering ability to build robustly scalable pipelines10. Ability to work in a multi-disciplinary team with a strong product focusJob Type: Full-time"
54,"
Machine Learning Engineer",/rc/clk?jk=baf0a8b56b48e4c3&fccid=fb6df03175754b0e&vjs=3,"

umlaut AG",N.A,umlaut AG17 reviews,"Design and develop solutions using Machine Learning and other advanced AI technologies to solve a variety of problems
Translate user stories and business requirements to technical solutions by building quick prototypes or proof of concepts with several business and technical stakeholder groups in both internal and external organizations
Convert the proof of concepts to production-grade solutions that can scale for hundreds of thousands of users
Be hands-on where required and lead by following best practices in development and CI/CD methods
yöu
4+ years of experience in software development for high-tech products or services
2+ years of hands-on experience delivering products or solutions that utilized Machine Learning, Natural Language Processing or other forms of AI solutions like machine vision
Highly skilled in Python and preferably in one or more programming languages like C++, Java, Go, etc
Strong hands-on experience in one or more of the Machine Learning tools like TensorFlow, Keras, Theano, or Caffe and have solved several real-life problems using these
Experience in one or more NLP libraries (i.e. spaCy, NLTK, etc) is a plus
Experience with handling Big Data (Spark, HBase, Kafka, etc) is a plus
You are confident in expressing your point of view from a position of knowledge and experience. You are also
receptive to feedback and open to revising your plans when appropriate
top 5 reasöns
An entrepreneurial environment with immediate responsibility and a chance to make a difference from the word go
Innovative projects with big name clients and exposure to future, cutting edge technologies
Unlimited individual growth opportunities and the ability to create a personalised career path
Access to a global network with opportunities to live and work abroad
All the support, training and coaching you need to further your career
and extra on top: A team spirit and family-like culture as exciting and colourful as our gradient coloured coffee marshmallows
cöntact
Karthick Raja M
Manager- Talant Acquisition

careers_in@umlaut.com
üs
umlaut is a 4500+ people strong global full service cross industry end-to-end partner that applies its deep-running interdisciplinary, collaborative advisory and fulfilment capabilities to change its clients fortunes for the better and - on top of that - add value, quality and focus to their organisations and produce."
55,"
Software Engineer - AI/ML Development",/rc/clk?jk=e1c15512bf6898c8&fccid=8d390ab1843cb8bd&vjs=3,new,N.A,"Aptiv2,719 reviews","We are looking for Software Engineer AI/ML Development who will help to develop our next generation products, infrastructure and supporting tools for web-based ML/AI focused systems.
Your role
Development of artificial intelligence (AI) focused systems.
Development and management of web-based applications using Angular, Kubernetes, Elasticsearch.
Benchmark and develop prototypes for proof-of-concept phase.
Develop and apply tools and methods enabling related activities.
Interdisciplinary communication with experts and system developers.
Your Background:
Ph.D. or master’s degree in in Computer Science, Electrical Engineering or a related field
Software specialist with proven background in software development having AI/ML applications.
Experience with at least one of the following areas
ML platform / ecosystem: Tensorflow, Pytorch, TFLite, TVM etc.
Web development, especially Angular, Kubernetes & Elasticsearch.
Cloud services like AWS, Azure VMs etc.
Experience with programming in C, C++, RUST & Python, including applying compiler and debugging methods
Beneficial to have experience in NOSQL databases like MongoDB etc.
Automotive experience is beneficial, knowledge about computer vision and machine learning algorithms is a plus.
Ability to work self-reliant, systematic and driven by goals.
Team player, good Communicator, English mandatory, German beneficial.
Aptiv Rewards & Advantages:
Interesting career in a leading, world-recognized company;
Opportunity to professional growth and personal development in an international environment
Ability to implement own ideas and solutions
Some see differences. We see perspectives that make us stronger.
Diversity and Inclusion are sources of innovation and creativity, both of which are essential to Aptiv’s success. Everyday our diverse team comes together, drives innovation, pursues solutions, and meets challenges using their unique abilities, perspectives and talents, changing what tomorrow brings. When you join our team, you’ll get encouraged to think boldly, express your viewpoint and innovate as a matter of habit.
Some see technology. We see a way to make connections.
At Aptiv, we don’t just see the world differently; we work to change reality. That means developing technology that rewrites the rules of what’s possible in the pursuit of making transportation safer, greener and more connected. Today there are more than 160,000 of us globally, located in 44 countries, and united by one mission.Join the movement and together, let’s change tomorrow.
Privacy Notice - Active Candidates: https://www.aptiv.com/privacy-notice-active-candidates
Aptiv is an equal employment opportunity employer. All qualified applicants will receive consideration for employment without regard to race, color, religion, national origin, sex, gender identity, sexual orientation, disability status, protected veteran status or any other characteristic protected by law."
56,"
Asset Management - Research",/rc/clk?jk=d658ff5c1dee99cc&fccid=16a97ed26c75bf2d&vjs=3,"

Goldman Sachs",N.A,"Goldman Sachs1,853 reviews","MORE ABOUT THIS JOB:

ENGINEERING
What We Do
At Goldman Sachs, our Engineers don’t just make things – we make things possible. Change the world by connecting people and capital with ideas. Solve the most challenging and pressing engineering problems for our clients. Join our engineering teams that build massively scalable software and systems, architect low latency infrastructure solutions, proactively guard against cyber threats, and leverage machine learning alongside financial engineering to continuously turn data into action. Create new businesses, transform finance, and explore a world of opportunity at the speed of markets.
Engineering, which is comprised of our Technology Division and global strategists groups, is at the critical center of our business, and our dynamic environment requires innovative strategic thinking and immediate, real solutions. Want to push the limit of digital possibilities? Start here.
Who We Look For
Goldman Sachs Engineers are innovators and problem-solvers, building solutions in risk management, big data, mobile and more. We look for creative collaborators who evolve, adapt to change and thrive in a fast-paced global environment.
RESPONSIBILITIES AND QUALIFICATIONS:

JOB TITLE: Application Development Vice President
BUSINESS UNIT: Asset Management Division
WHO WE ARE
Goldman Sachs is leading global investment banking, securities and investment management firm that provides a wide range of services worldwide to a substantial and diversified client base that includes corporations, financial institutions, governments and high net-worth individuals.
Founded in 1869, it is one of the oldest and largest investment banking firms. The firm is headquartered in New York and maintains offices in London, Bengaluru, Salt Lake City, Dallas, Frankfurt, Tokyo, Hong Kong and other major financial centres around the world.
We are committed to growing our distinctive Culture and holding to our core values which always place our client's interests first. These values are reflected in our Business Principles, which emphasise integrity, commitment to excellence, innovation and teamwork.
Multi Asset Solutions is a multi-asset class portfolio manager group, within Asset Management Division, that works very closely with our largest institutions to model and allocate investments to strategic asset allocation targets. As part of this the MAS technology team is closely aligned to build the platform required to scale the business while enabling client flexibility. Numerous projects are already underway including expanding trading capabilities, analytic al reporting and business process modelling.
RESPONSIBILIITES
Software developer on critical projects to integrate and automate cross asset class trading systems, across business areas with GS Asset Management.
Involvement in full software project lifecycle: analysis, technical design, development, testing, release, support.
Build partnerships with senior business and technology clients to understand business requirements, propose creative solutions and build maintainable systems.
Opportunity for close engagement with intricate multi-function business as well as to learn the Investment Management business and interact with business functions and technology teams across AMD.
Key technologies used: Java, Typescript, Angular, NodeJS, MongoDB, MemSQL.
HOW YOU WILL FULFILL YOUR POTENTIAL
Lead as a senior architect and software developer on critical projects to integrate and automate cross asset class trading systems
Collaborate with Portfolio Managers to understand the investment process, and translate to streamlined and digitized workflows
Contribute hands-on to engineering the next generation of our portfolio management platform.
SKILL / EXPERIENCE
An ideal candidate will have a minimum of 6-8 years of experience in building end-to-end solutions in financial domain.
Strong core capability in functional and/or OO programming languages
Experience in HTML5/JavaScript and modern web development frameworksExperience of partnering clients to deliver benefit to the businessExperience in software development lifecycle best practices, including test driven and agile methodologiesHands-on, demonstrates taking ownership of issues to ensure successful conclusionStrong communication and consensus building skills
Expected to have ability to build close client relationships and communications (email and verbal); working with clients both locally and globally.

QUALIFICATIONS - Technical/Engineering graduate degree required

ABOUT GOLDMAN SACHS:

ABOUT GOLDMAN SACHS
At Goldman Sachs, we commit our people, capital and ideas to help our clients, shareholders and the communities we serve to grow. Founded in 1869, we are a leading global investment banking, securities and investment management firm. Headquartered in New York, we maintain offices around the world.


We believe who you are makes you better at what you do. We're committed to fostering and advancing diversity and inclusion in our own workplace and beyond by ensuring every individual within our firm has a number of opportunities to grow professionally and personally, from our training and development opportunities and firmwide networks to benefits, wellness and personal finance offerings and mindfulness programs. Learn more about our culture, benefits, and people at GS.com/careers.


We’re committed to finding reasonable accommodations for candidates with special needs or disabilities during our recruiting process. Learn more: https://www.goldmansachs.com/careers/footer/disability-statement.html
© The Goldman Sachs Group, Inc., 2021. All rights reserved.
Goldman Sachs is an equal employment/affirmative action employer Female/Minority/Disability/Veteran/Sexual Orientation/Gender Identity"
57,"
Senior Machine Learning Operation Engineer",/rc/clk?jk=a53a4f1212f3b140&fccid=bbb3662cdcf89315&vjs=3,new,N.A,"Sense Talent Labs, Inc.","Company Description
By the end of 2020, contingent workers made up nearly 40% of the US workforce, and that number is growing steadily year after year.
At Sense, we are reinventing the way staffing agencies build long-term relationships with their workforce. We obsess over the candidate experience, always looking for ways to improve how staffing agencies communicate and engage with talent before, during and after each assignment. Sense is a rapidly growing company, and our engineering team is the best environment for people looking for challenges, ownership, and learning opportunities.

Job Description
Our customers say that finding the right candidates at the right time can be like finding a needle in a haystack. Sense, however, makes the whole process a lot less labor intensive for them. Agencies using Sense unlock the real power of recruiters, who don’t have to spend most of their time managing mechanical and repetitive tasks.
One of the most powerful tools in our portfolio is the virtual assistant, which we call Reva (Recruiting Virtual Assistant). Reva proactively reaches out to candidates to ensure their information is as accurate as possible, pre-screens them, schedules interviews with the recruitment team, and does a lot more.
The assistant is the first of many projects that relies on Machine Learning to make our products more intelligent and powerful, and we need your help to make our vision a reality. If you have experience building reliable and scalable infrastructure and are passionate about ML, then this is the perfect opportunity for you!
In this role, you’ll work at the intersection of Machine Learning, DevOps and Data Engineering, and you’ll be responsible for deploying and maintaining ML systems in production reliably and efficiently.

Qualifications
Responsibilities:
Help design and develop novel ML systems infrastructure within Sense
Design and build scalable automation pipelines to train, test, and deploy ML models for a variety of AI products
Given requirements around availability, scalability, performance, observability and recoverability, come up with complete designs for ML platforms in staging and production environments
Given requirements from our Data Science team around experimentation and verification, build on-demand services to improve their productivity
Hold reusability, extensibility, right separation of concerns in high importance while designing at data & service levels
Own quality & performance “measures” of service/application, and work towards constantly & consistently improving on the same.
Mentor other engineering team members through code reviews, pair programming etc.
About You:
Bachelor’s degree in computer science or other highly technical, scientific discipline
3+ years of experience with AWS services like SQS, SNS, etc.
3+ years of experience with deployment systems like Jenkins, CI/CD pipelines.
Experience with distributed storage technologies like NFS, HDFS, Ceph, S3 as well as dynamic resource management frameworks (Mesos, Kubernetes, Yarn)
Familiarity with Machine Learning or NLP technologies is a plus.
Additional Information
All your information will be kept confidential according to EEO guidelines."
58,"
QA Engineer",/rc/clk?jk=7d7b8a02d559302c&fccid=2579629f25cc4681&vjs=3,new,N.A,CommScope500 reviews,"We are RUCKUS!
In this 'always-on' world, we believe it's crucial to have a genuine connection with work you do.
CommScope’s Venue and Campus segment incorporates Ruckus Network’s, which focuses on enabling wireless and wired connectivity across sophisticated and multifaceted networks. It offers dedicated engineering and Customer Service and Support resources to our customers across a spectrum of verticals including - hospitality, education, smart cities, government, venues, service providers and more.
Duties and responsibilities
Manual testing of WLAN Controller, AP control, 802.11, Security, Machine learning Features.
Automate the identified regression tests using approved / inhouse automation framework.
Connect with different partners to understand the Requirements and test scenarios and status.
Skills Required
Engineer with 1+ years of experience in Manual testing and Python scripting
Experience in 802.11 WLAN networking or Layer2 Switching is helpful
Very good in logical thinking.
Exposure to AAA/Cloud environment is added advantage.
Good to have Web development experience in Django, Javascript, CSS, and MySQL
Exposure to various test tools like Jira, test link etc..
Strong in oral, written communication skills.
Why CommScope and Ruckus
CommScope is pushing the boundaries of communications technology. For more than 40 years, we’ve been leaders in innovating 5G, private networks and Gigabit speeds everywhere – we're always anticipating what’s next. Developments such as the Internet of Things, magnificent connectivity, Cloud and 5G introduce new requirements and demand creative thinking. With our unmatched expertise in copper, fiber, and wireless infrastructure, our global clients rely on us to outperform today and be ready for the needs of tomorrow.
Ruckus is a Business Unit within CommScope, passionate about delivering groundbreaking solutions to build a smarter, simpler, more connected world. At the heart of global connectivity are the engineers who write innovative software for our award-winning routing and switching products to bring the information quickly and effectively where needed. We are a pioneer in the wireless infrastructure market, enabling carriers and enterprises to stay ahead of the exploding demand for high-bandwidth applications and services Our Ruckus Smart Wi-Fi, LTE, and Switching technology redefines what’s possible in wireless network performance with flexibility, reliability, and affordability.
CommScope is an Equal Opportunity Employer, including people with disabilities and veterans. To learn more visit careers.commscope.com/eeo"
59,"
Software Development Engineer – Machine Learning",/rc/clk?jk=c760e6ea833befb3&fccid=20930b0ad72fb325&vjs=3,"

EDGE Networks",N.A,EDGE Networks6 reviews,"Details
Experience 5+ Years

Education Degree in Computer Science or Related discipline

Role Software Development Engineer- Machine learning

Functional Area Data Science

Location Bangalore ( Can work remotely)

Compensation Best in the Industry

Job Responsibilities
Design and develop highly scalable, reliable, and fault-tolerant systems serving machine learning features at scale.
Work with multiple teams within of EdGE and build cross-functional solutions in a collaborative work environment.
Job Requirements
5+ year of hands on experience implementing production systems at scale in Python. Ability to design and implement low latency RESTful services.
Have a deep understanding of system design, data structure and algorithms.
Know how to write distributed, high volume services in Python.
You might have worked with Docker as well as Kafka, Spark, Hive, Airflow Graph Datastores. Expertise with databases (Postgres, Mongo).
You have experienced with deploying and operating services on Linux.
You care about software processes, data-driven development, high quality code.
Familiar with Kubernetes, C++, Tensorflow, Pytorch is a plus.
Strong problem-solving skills, combined with a high level of initiative and ability to thrive in a multi-tasking, fast-paced environment. Influencer with great communication skills, you love sharing your knowledge with others and helping them grow.
Interested? Send your details with updated CV to careers@edgenetworks.in"
60,"
Machine Learning Engineer",/rc/clk?jk=6f84291d0f7ef257&fccid=54a336baefc463d9&vjs=3,"

Ignitarium Technology Solutions",N.A,Ignitarium Technology Solutions2 reviews,"Machine Learning Engineer:
Job Locations :
Bangalore, Kochi
Must have

3 - 10 years’ experience developing software for Computer Vision, Machine/Deep learning
Hands on with C, C++, Python, Linux, C#
Hands on with OpenCV, TensorFlow, Caffe, CUDA, OpenCL, OpenGL
Hands-on experience with internals of networks (CNN, RNN, LSTM, SSD etc). Customization of NN and improving performance
Experience with GPU/DSP/ISP/SoC architecture and system software.
Hands-on experience with one or more leading embedded SoC platforms (Nvidia, Qualcomm, NXP, Movidius, etc.)
Good analytical and problem-solving skills
Knowledge of computer architecture
Can build prototypes leading to production worthy solutions
Contribution in research communities, publishing papers or participation in Github projects related to machine learning would be a distinct advantage.

Education

Electronics/Electrical/Computer Science Graduate/Post Graduate/PhD"
61,"
Senior Software Engineer (Machine Learning)",/rc/clk?jk=5a3e2154b8781406&fccid=381ae9eb951aeeb7&vjs=3,"

Soroco",N.A,Soroco4 reviews,"The Company

We are a young, fast-growing AI company shaking up how work gets done across the enterprise. Every day, we help clients identify opportunities for automation, and then use a variety of AI and advanced automation techniques to rapidly model manual work in the form of code. Our impact has already been felt across some of the most reputable Fortune 500 companies, who are consequently seeing major gains in efficiency, client satisfaction, and overall savings. It’s an exciting experience to watch companies transform themselves rapidly with Soroco!

Based across US, UK, and India, our team includes several PhDs and graduates from top-notch universities such as MIT, Harvard, Carnegie Mellon, Dartmouth, and top rankers/medalists from the IITs and NITs. The senior leadership includes a former founder of a VC/hedge fund, a computer scientist from Harvard, and a former founder of a successful digital media firm. Our team has collectively published more than 100 papers in international journals and conferences and been granted over 20 patents. Our board members include some of the most well-known entrepreneurs across the globe, and our early clients include some of the most innovative Fortune 100 companies.

The Role

A Senior Software Engineer (SSE) – Machine Learning - will drive the company’s intelligent automation product design and delivery by working with engineering teams, product teams and the senior leadership of the company. S/he will fuel the growth of the company’s operations by developing computer vision and NLP products that can be applied to a wide range of automation tasks.

Responsibilities include (but are not limited to):

Design, architect, and build high-quality ML and non-ML enterprise products and features
Review design and architecture, code, and test plans
Own products and features end-to-end, including gathering requirements, solutioning and designing architecture, developing, testing, deploying, and maintaining systems
Interact and collaborate with our high-quality technical and product team across India and the US

How You Will Grow:

Soroco believes in supporting you and your career. We will encourage you to grow by providing you with professional development opportunities across multiple business functions. Joining a young company will allow you to explore what is possible and have a high impact.

The Candidate

The ideal SSE is passionate about working with and guiding high-tech software development teams working on hard problems in machine learning such as computer vision, NLP as well as distributed systems, computer security, networking, cloud computing.

Key Requirements and Qualifications:

3 - 5 years of work experience
At least 3 years of software development experience in a modern object-oriented programming language
At least 2 years of experience in developing machine learning or deep learning based enterprise products
Expertise in Bayesian statistics and machine learning
Expertise in deep learning for visual recognition, detection and segmentation
Experience in NLP including text embedding and sequence transduction
Experience with data modeling with generative and discriminative models
Experience with graphical models, parameter learning and inference
Expertise in deep learning frameworks such as PyTorch and TensforFlow
B.E. / B.Tech from a top university in India in one of the following departments (i) Computer Science, (ii) Information Sciences,

(iii) Electrical Engineering, (iv) Electronics – or equivalent.
Experience in leading technical teams is preferred"
62,"
NLP Engineer",/company/asepsislife/jobs/Nlp-Engineer-91741000051f4371?fccid=e6a420e7b17c7d49&vjs=3,"
KoiReader Technologies","


₹4,00,000 - ₹9,00,000 a year

",KoiReader Technologies,"Skills required: Strong experience in Python and writing fault-tolerant codeExposure in OCR, Text Processing, OpenCV, NumPy and various text based machine and deep learning algorithmsKnowledge of Keras, Tensorflow, PyTorch,Knowledge of NLP and NLU (NLTK, Spacy, Flair, etc.)Good understanding of optimizing data processing pipelinesCommand over geometry, statistics and writing complex algorithmsAbility to work and thrive in a startup environment, learn rapidly and master diverse web technologies and techniquesRoles and Responsibilities: Leverage open-source code and libraries to quickly experiment and build novel solutionsIndependently think of solutions to complex requirements; possess exceptional logical skillsAnalyze current products in development, including performance, diagnosis and troubleshootingWork with the existing framework and help evolve it by building reusable code and librariesSearch and introduce new software related technologies, process and tools to the teamBrownie Points: Understanding of Docker, Kubernetes and GITFamiliarity with JavaScript and Node.jsWhat we have to offer: Work with a performance oriented team driven by ownership and open to experiments with cutting-edge technologiesLearn to design system for high accuracy, efficiency and scalabilityMeritocracy driven, candid startup cultureJob Type: Full-timeSalary: ₹400,000.00 - ₹900,000.00 per yearBenefits:Health insuranceSchedule:Day shiftSupplemental Pay:Yearly bonusAbility to Commute/Relocate:Bengaluru, Karnataka (Preferred)Experience:total work: 1 year (Preferred)Work Remotely:Temporarily due to COVID-19COVID-19 Precaution(s):Remote interview process"
63,"
Software Engineer, University Graduate, 2021 Start",/rc/clk?jk=9f4a126d9e028a79&fccid=a5b4499d9e91a5c6&vjs=3,"

Google",N.A,"Google3,876 reviews","Due to the current health crisis related to COVID-19 and the escalating visa/travel restrictions in place, we're currently unable to extend offers to anyone who cannot work from India due to lockdown visa/travel restrictions, or other restrictive measures until further notice. Consequently, we will be prioritizing candidates who can start in this location by set date as expected. We're keeping the situation under review and would adjust our position should the restrictive measures be removed later on.
Note: By applying to this position you will have an opportunity to share your preferred working location for this position from the following: Bengaluru, Karnataka, India; Hyderabad, Telangana, India
Minimum qualifications:

Bachelor's degree or equivalent practical experience.
Experience working with Unix/Linux, Windows or Mac environments, distributed systems, machine learning, information retrieval and TCP/IP.
Experience programming in C, C++, Java or Python.
Preferred qualifications:

Master's degree or PhD.
About the job
Google's software engineers develop the next-generation technologies that change how billions of users connect, explore, and interact with information and one another. Our products need to handle information at massive scale, and extend well beyond web search. We're looking for engineers who bring fresh ideas from all areas, including information retrieval, distributed computing, large-scale system design, networking and data storage, security, artificial intelligence, natural language processing, UI design and mobile; the list goes on and is growing every day. As a software engineer, you will work on a specific project critical to Google’s needs with opportunities to switch teams and projects as you and our fast-paced business grow and evolve. We need our engineers to be versatile, display leadership qualities and be enthusiastic to take on new problems across the full-stack as we continue to push technology forward.

As a key member of a small and versatile team, you design, test, deploy and maintain software solutions.

If you're interested in this University Graduate position, try out Kick Start.
Google is and always will be an engineering company. We hire people with a broad set of technical skills who are ready to take on some of technology's greatest challenges and make an impact on millions, if not billions, of users. At Google, engineers not only revolutionize search, they routinely work on massive scalability and storage solutions, large-scale applications and entirely new platforms for developers around the world. From Google Ads to Chrome, Android to YouTube, Social to Local, Google engineers are changing the world one technological achievement after another.
Responsibilities
Research, conceive and develop software applications to extend and improve on Google's product offering.
Contribute to a wide variety of projects utilizing natural language processing, artificial intelligence, data compression, machine learning and search technologies.
Collaborate on scalability issues involving access to massive amounts of data and information.
Solve challenges/problems that you are presented with.
Google is proud to be an equal opportunity workplace and is an affirmative action employer. We are committed to equal employment opportunity regardless of race, color, ancestry, religion, sex, national origin, sexual orientation, age, citizenship, marital status, disability, gender identity or Veteran status. We also consider qualified applicants regardless of criminal histories, consistent with legal requirements. See also Google's EEO Policy and EEO is the Law. If you have a disability or special need that requires accommodation, please let us know by completing this form."
64,"
Infotainment C++, Linux, Embedded Engineer",/rc/clk?jk=b453515de8d3e353&fccid=33fa1494c1a3ee87&vjs=3,"

Mercedes-Benz Research and Development India Priva...",N.A,"Mercedes-Benz Research and Development India Private Limited5,004 reviews","Aufgaben
Job ID: Software Developer, Linux Middleware – Camera/Vision Systems
Job Description: Develops end-user features. Design, document, implement / integrate and test. Develop features with focus on back-end layer and/or middle-layer in a layered architecture view.


Experience
3 to 7 years of experience in Software development

Education & Training
Masters/Bachelors in Computer Science or Electronics and Communication Engineering or related field

Mandatory Skills
C/C++ programming experienceExperience with development on embedded Linux platformsExperience in using IPC mechanism like DBus, Thrift etc.,Experience in working with Linux embedded platform (Development, Build and Deployment)Experience in build tools cmake, make/gmake and cross compilationExcellent Communication and Team work skills

Desired Skills
Experience in working with Automotive Infotainment Head Unit HardwareGood knowledge of UML Modelling tools like EA, Rhapsody.Good knowledge of Test driven development (Unit and Module testing)Good knowledge of SW-Version-Tools like SVN, GIT Knowledge of systems software design, operating systems and architecturesProven ability working in Agile Scrum environment using Atlassian tools

Job Responsibilities
Software Development and Unit TestingOptimizing computational applications (such as computer vision, image processing, graphics, machine learning) for architectures such as x86, ARM, NEON, or CUDAConceptualize, architect and prototype software solutions on high performance embedded systemsDevelopment of SW frameworks and modules for Head UnitSystem requirements analysis and clarification internal in Daimler and with suppliersDefine and Analyse SW requirements and SW interfacesIntegration, Build and Release Management of applicationDocumentation of High Level, Low Level design, Source code and Unit TestsDevelop, flash and test the application in Embedded HardwareCommunication with partners, suppliers and within the team
Qualifikationen
Bachelors or Master’s Degree in Electronics & Communication/Computer Science/Equivalent"
65,"
Software Engineering-Python",/rc/clk?jk=4b467924fbd21380&fccid=aaf3b433897ea465&vjs=3,new,N.A,"JPMorgan Chase Bank, N.A.8,604 reviews","The Enterprise Technology Services & Data Management organization in CTO has a specific mandate to improve and transform the data needed to run a Global Technology organization in JP Morgan Chase. You will be joining a team of software engineers and architects that maintain a constant focus on designing strategic solutions, delivering innovative products on leading edge technologies, and leveraging the scale of the firm to achieve optimal outcomes.
The Chief Technology Office (CTO) for JPMorgan Chase oversees enabling components inclusive of the top quality engineering and architecture tools and practices required to make us a leading technology company. We will drive firm-wide efforts in such critical areas as Cloud Enablement & Adoption, Technology Portfolio Management and Rationalization, Platform and API Strategy, Development Tooling and Practices, Big Data and Machine Learning services, Data Architecture, Reference Architecture, and Technology Data Management. This position is firm-wide in scope and will require significant collaboration, influence, and leadership across all technology organizations that support all lines of business and functional areas (e.g. Risk, Finance, Compliance etc).
The Enterprise Technology Services & Data Management organization in CTO has a specific mandate to improve and transform the data needed to run a Global Technology organization in JP Morgan Chase. We will accomplish this by strengthening governance and quality of the data that is critical to managing our technology assets and operations, and converging onto streamlined applications and data sources that are bound by a common logical data model.
You will be joining a team of software engineers and architects that maintain a constant focus on designing strategic solutions, delivering innovative products on leading edge technologies, and leveraging the scale of the firm to achieve optimal outcomes.
Key responsibilities of this role include:
Analyze business requirements for the purposes of constructing technical delivery specifications
Designs, analyzes, develops, reviews, tests, debugs, delivers and supports software
Demonstrates an understanding of the importance of end to end software development which will include working in Agile frameworks
Collaborates with fellow team members and keeps the team and other key stakeholders well informed of progress of application business features being developed
Demonstrates an understanding of DevOps principles around Continuous Integration and Continuous Delivery
Mentors less experienced software engineers
Executes within a client centric environment while working with teams and contributors

Basic Qualifications
Minimum of 5-7 years of software engineering experience in large-scale IT organization
Minimum of 2-3 years of experience with Python
Minimum of 2 years' experience with Database
Minimum of 2-3 years of deploying and running applications in public cloud
Solid communication skills
Naturally Inquisitive and a continuous learner
Demonstrated ability to process information from multiple sources to determine course of action
Lengthy experience working in agile delivery teams
Demonstrated ability to mentor, coach, and lead more junior software engineers
Bachelor's degree in Computer Science, Computer Engineering, or related field

Preferred Skills:

ServiceNow Certified - Application Developer and System Administrator
AWS Certified - Developer or Architect
Deep experience with epics, user stories, Strong ability to evaluate and construct development tasks to deliver on user stories and identify that correctly reflect business needs
Experience with data manipulation using pandas in python
Expert proficiency in one or more general purpose programming languages - Java or Python
Experience with developing micro-services
Expert level ability to analyze, design, develop, review, test, deploy, maintain and improve software
Strong understanding of techniques such as Continuous Integration, Continuous Delivery, Application Resiliency and Security
Keen interest in data engineering and designing/developing data-centric solutions
Highly proficient in the architecture and design of at least a single functional area
JPMorgan Chase & Co., one of the oldest financial institutions, offers innovative financial solutions to millions of consumers, small businesses and many of the world's most prominent corporate, institutional and government clients under the J.P. Morgan and Chase brands. Our history spans over 200 years and today we are a leader in investment banking, consumer and small business banking, commercial banking, financial transaction processing and asset management.
We recognize that our people are our strength and the diverse talents they bring to our global workforce are directly linked to our success. We are an equal opportunity employer and place a high value on diversity and inclusion at our company. We do not discriminate on the basis of any protected attribute, including race, religion, color, national origin, gender, sexual orientation, gender identity, gender expression, age, marital or veteran status, pregnancy or disability, or any other basis protected under applicable law. In accordance with applicable law, we make reasonable accommodations for applicants' and employees' religious practices and beliefs, as well as any mental health or physical disability needs."
66,"
AI/ML Engineer",/rc/clk?jk=6c0f0f89d189e158&fccid=c8e0c581d16fb6bd&vjs=3,"

Colortokens",N.A,Colortokens3 reviews,"Job Description
We are looking for an expert in machine learning to help us extract value from our data. You should have successfully completed multiple ML projects. You will lead all the processes from data collection, cleaning, and preprocessing, to training models and deploying them to production. The ideal candidate will be passionate about artificial intelligence and stay up-to-date with the latest developments in the field.
Skills
Proficiency with a supervised and unsupervised machine learning.
Proficiency with Python and basic libraries for machine learning such as scikit-learn and pandas
Expertise in visualizing and manipulating big datasets
Familiarity with Linux"
